date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,
17-Mar,81.2,70.7,51.6,38.3,64.3,79.8,66.1,49.6,0,44.9,50.2,66.2,33.3,57.8,65.1,48.3,49.1,,,,,
18-Mar,81.3,71.5,52.2,38.6,64.4,80.5,66.4,49.5,0,44.8,51,66.1,33.3,58.1,65.2,49.3,49.3,,,,,
19-Mar,76.7,71.9,53.3,38.3,64.7,80.9,67.4,49.7,0,44.9,50.1,66.3,33.4,58.2,65.5,49.6,49.4,,,,,
20-Mar,72.3,72.5,55,38.2,65,81.2,68.9,51.4,0,44.9,50.3,66.5,33.8,58.2,66.1,51,49.5,,,,,
21-Mar,73.3,73.5,57.5,38.3,65.2,82.3,71.1,52.1,0,45,51.5,66.6,33.9,58.6,67,52,49.4,,,,,
22-Mar,77.4,74.2,56.2,39.2,65.8,83,71.7,52.3,0,45.2,52.9,66.7,33.8,58.8,68.4,52.6,49.6,,,,,
23-Mar,80.1,74.4,55.9,39.1,66.3,83.1,72.4,52.7,0,45.2,54.1,67.7,34,58.6,68.8,52.8,49.7,,,,,
24-Mar,82.4,76.3,55.8,38.8,66.4,83.2,72.6,52.8,0.3,46.4,54.5,67.9,34.2,59.2,68.9,52.6,50.3,,,,,
25-Mar,64.9,76.7,57.4,38.8,66.7,83.3,72.8,52.9,0.4,46.8,56.2,68.1,34.1,59.3,70.3,51.9,51,,,,,
26-Mar,71.3,77.2,58,39.2,67.3,83.2,73,53.9,0.7,47,57,68.4,34.4,59.3,70.4,51.4,51.5,,,,,
27-Mar,76.7,78.3,58,40.2,67.3,83.7,73.4,53.8,0.2,47,57.8,70.1,35.1,59.7,70.7,51.8,51.5,,,,,
28-Mar,78.6,79,58.5,40,67.7,83.9,73.2,54.1,0,48.5,58.7,71.9,35.1,60.4,71,51.5,51.7,,,,,
29-Mar,79.9,79.5,58.9,41.5,68.3,84.7,72.9,54.8,0,48.1,61.6,72.9,35,62.2,72.9,50.9,51.8,,,,,
30-Mar,80.6,79.8,59,43.4,69.2,86.9,72.5,55.7,0,48.1,63.8,73.2,35,63.3,72.9,50.2,51.8,,,,,
31-Mar,80.9,80.4,59.9,43.4,73.6,87.7,72,56.8,0,48,63.5,74,34.9,64.7,72.8,49.8,51.7,,,,,
1-Apr,55,81,61.4,43.6,74.6,88.2,71.5,56.9,0,47.9,63,73.9,34.7,65.5,72.5,49.9,53.1,,,,,
2-Apr,55,81.1,62.6,43.6,74.1,89.2,71.1,56.8,0,47.8,63.3,73.9,34.5,65.3,72.7,50.2,53.2,,,,,
3-Apr,56.5,81.5,63.7,44.8,74.7,89.2,70.7,56.8,0,47.1,63.5,74,34.1,65.3,72.5,50.8,53.9,,,,,
4-Apr,55.2,81.7,64.1,46,74.8,89.6,70.1,57.3,0,46.4,63.4,74,35.2,65.6,72.8,53.5,54.2,,,,,
5-Apr,54.8,82.6,64.3,46.1,76.8,89.7,71.1,57.7,0,46.1,63.5,74.5,33.8,65.7,73.2,55.8,54.3,,,,,
6-Apr,54.1,82.6,65,46.5,77.9,89.9,66.7,58.8,0,45.2,64.9,76.4,33.7,66,72.9,58.6,54.4,,,,,
7-Apr,53.4,83.3,65.8,47.3,78.8,90.1,67.9,58.7,0,44.7,64.1,75.6,33.2,65.9,72.6,58.7,54.9,,,,,
8-Apr,52.3,83.9,66,48.5,78.9,90.1,68.6,58.5,0,44.4,64.4,76.2,33.1,66.2,73.5,58.7,54.4,,,,,
9-Apr,51.8,84.3,64.9,49.8,78.8,90.2,68.6,58.2,0,42.7,64.3,75.4,33.4,66.8,73.7,59.7,54.9,,,,,
10-Apr,53.4,84.4,64.1,50.2,79.3,89.5,68.6,57.3,0,41.1,64,73,33.1,66.8,74.3,60.2,55.6,,,,,
11-Apr,53.9,85,63.9,50.4,81.6,87.9,68.6,57,1,40.2,64.6,72.5,33.5,66.6,74.5,60,55,,,,,
12-Apr,52.8,85.2,64,50.5,82.1,87.7,68.9,56.9,1.3,40,64.5,72.5,34,66.5,74.4,60,55.4,,,,,
13-Apr,52.6,85.4,66.5,50.6,81.3,87.4,69.6,56.8,1.6,41,64.9,72.6,34.3,66.2,74.5,60.6,55.8,,,,,
14-Apr,52.9,84.9,66.5,50.8,81.3,86.9,70.2,56.5,2.1,40.9,65.5,74.2,34.8,65.9,74.6,60.5,55.9,,,,,
15-Apr,52.4,84.4,66,50.2,82.2,86.8,70.6,56.1,2.3,41.2,65.6,74.8,35.2,65.8,74.5,60.6,56.1,,,,,
16-Apr,52.8,84.9,65.7,49.6,82.3,86.5,70.9,56.2,2.3,41.4,65.7,73.5,35.2,65.8,74.1,60.7,56.2,,,,,
17-Apr,53.8,84.9,66.4,49,82.2,86.1,71.1,57.3,1.9,41.3,65.7,74.8,35.4,65.6,73.7,60.6,56.9,,,,,
18-Apr,52.9,85.4,67.5,48.8,82.5,86,71,58,1.3,41.3,66.5,75,35.4,65.1,73.1,60.7,56.9,,,,,
19-Apr,52.8,85.4,66,48.3,82.6,86,71.9,57.2,0.8,40.7,66.3,75.4,35.8,64.8,72.8,61.9,57.3,,,,,
20-Apr,52.9,85.5,65.7,47.4,82.6,87.8,72.3,57.4,0.1,38.8,65.8,75.7,33.8,64.3,72.1,62.4,57.5,,,,,
21-Apr,52.1,86.4,64.9,46.6,82.6,84.1,72.3,56.7,0,36.3,65.7,75.8,32.7,63.8,71.1,62.3,58.3,,,,,
22-Apr,51.6,86.7,63.8,45.7,83.3,82.7,72.9,57.2,0,34.3,65.3,76.5,31.8,63.4,70.2,62.2,58.9,,,,,
23-Apr,51,86.8,62.5,44.9,84.3,82.1,72.8,57.1,0.5,33.4,64.9,76.9,31.8,64,69,62.2,59.8,,,,,
24-Apr,50.2,87.3,61.5,44.9,84.7,81.2,72.4,57.6,1.2,32.2,65,77.1,30.8,64.2,68.3,62.2,59.3,,,,,
25-Apr,50,87,61,45.6,84.7,79.5,72.2,58.7,2,31.5,64.1,76.9,30.3,63.4,68.4,61.8,59.2,,,,,
26-Apr,49.7,87.7,60.6,45.9,84.9,76.4,71.9,58.1,2,30.7,63.7,76.7,29.9,63.1,68.2,61.7,58.1,,,,,
27-Apr,49.4,88.2,60.2,46,85.3,77.1,71.5,58.2,1.6,30.3,64.1,76.9,29.6,61.4,68.1,62,57.8,,,,,
28-Apr,48.7,88.2,60.2,47.1,85.7,77.9,71.7,59.3,0.7,30,64.6,75.8,29.8,60,67.4,61.8,57.3,,,,,
29-Apr,48.4,86.6,59.7,46.9,86.1,78.3,71.6,59.5,0.2,29.9,64.5,73.6,29.7,58.4,67,61.9,56.9,,,,,
30-Apr,47.7,86.3,59.1,46.8,86,78.4,71.2,59.6,0.1,29.9,65.1,71.2,29.8,58.1,67.1,61.6,55.6,,,,,
1-May,47.3,86.7,58.9,47.5,85.8,79.7,70.9,59,0,29.7,65.1,69.9,29.5,57,67.2,61.7,53.4,,,,,
2-May,46.7,86.9,58.3,47,86.6,79.1,71.1,58.1,0,28.7,64.9,68.9,29,55.4,66.1,61.2,52.1,,,,,
3-May,46.3,86.4,57.5,47.4,87.1,79.4,70.9,57.1,0,27.1,64.8,68.2,29.2,55.3,64.6,60.8,51.5,,,,,
4-May,46.7,86.4,56.8,49,87.3,79.8,70.7,56.4,0,25.7,64.7,68.1,28.6,54.8,64.3,60.5,50.5,,,,,
5-May,46.3,85.7,57,50.1,86.5,80.5,70.1,55,0,24.7,63.7,67.1,28.4,53.8,63.9,61,49.2,,,,,
6-May,46.4,85,58.1,50.1,86.6,80.7,68.7,53.2,0.4,23.6,60,66.2,27.8,53.5,63.5,61,48.3,,,,,
7-May,46.7,84.4,58.5,50,86.7,80.5,66.5,53.6,0,22,58,64.8,26.6,53.3,63.1,59.8,47.5,,,,,
8-May,44.6,83.7,58,49.9,87.1,79.9,64.5,53.6,0,20.2,58.3,62.1,25.3,53,64.1,58.5,46.7,,,,,
9-May,43.4,83.5,57,49.7,86.8,79.3,62.7,54.5,0,19.5,58.5,60.5,24.1,52.9,64.4,58.2,46.6,,,,,
10-May,42.9,83.3,56.1,49.3,86.3,79,61,53.4,0,18.7,58.4,58.9,22.7,52.3,64.2,58.8,46.6,,,,,
11-May,41.8,83.4,56.1,48.8,86.5,79.4,59.3,53,0,17.5,57.9,56.8,21,51,64,59.3,46.5,,,,,
12-May,40.8,83.2,55.4,48.1,88.4,78.9,57.4,52.4,0,16.2,58.2,55.9,19.3,49.3,63.7,59.3,46.1,,,,,
13-May,39.2,82.8,55.1,47.4,87,78.1,52.3,51.9,0,14.8,57.4,55.6,18.3,47.8,63.3,59.6,45.3,,,,,
14-May,39.2,83.4,55.8,46.5,84.9,77.1,50.8,51,0,13,57.1,54.4,17.6,46.4,62.6,59.9,44.1,,,,,
15-May,38.1,83.2,55.8,45.4,83.7,76.5,51,49.5,0,11.8,57,51.6,17.1,45.2,61.5,59.7,41.7,,,,,
16-May,36.5,83.2,55,44,82.9,74.7,51.1,47.9,0,10.9,57.2,48.9,15.9,44.2,60.5,61.1,39.1,,,,,
17-May,35.5,81.2,54.2,42.4,82.7,73,50.7,46.3,0,10.1,58.2,46.6,14.9,44.1,58.8,59.7,36.8,,,,,
18-May,34.7,79.2,53.2,41,81.2,71.6,50.3,45.3,0,8.9,58.2,45.1,14,44.3,57.5,58.1,34.7,,,,,
19-May,33.5,77,52.3,40.2,80.2,71.1,49.4,44.7,0,8,57.8,44.3,12.8,40.4,56.2,57.8,32.7,,,,,
20-May,33,75.6,51.3,39.2,79.6,70.6,48.7,43.8,0,7.4,57.1,43.4,11.5,42,55.1,57.2,30.8,,,,,
21-May,33,75.6,50.8,39.3,79.6,72.3,48.2,42.9,0,5.8,56.2,42.5,10.8,41.6,54.5,56.7,28.7,,,,,
22-May,32.9,74.8,49.4,38.8,78.9,71.7,47.6,41.9,0,5.2,54.8,41.4,10.1,41.8,54.1,56.1,27.2,,,,,
23-May,32.1,73.6,48.2,38.6,77.8,70.1,47.1,40.6,0,4.4,52.9,40.2,8.7,41.6,53.4,55.9,26.9,,,,,
24-May,31.4,72.5,47,38.5,76.3,69,46.2,38.8,0,3.7,50,37.9,7,40.3,53,55.4,26.7,,,,,
25-May,30.1,71.5,45.5,38.1,75.5,67,45.6,37.8,0,2.9,49.1,35.6,6,39.2,52.6,54.9,26.5,,,,,
26-May,28.8,70,44.1,37.6,76.1,65.8,45,37.5,0,2,48.3,34,5.3,39.4,52,54.4,25.7,,,,,
27-May,27.9,67.9,43.1,37.4,75.9,64.8,45.1,36.3,0,1.6,47.1,33.3,3.7,38,50.6,54.3,24.2,,,,,
28-May,36.5,65.5,41.2,37.2,75.8,64.1,44.4,35,0,1.5,45.3,32.7,1.3,36.7,50.2,53.3,22.6,,,,,
29-May,27.1,63.5,39.5,36.3,75.3,64.1,43.2,34.7,0,1.2,42.6,32.1,0.4,35.3,49.6,51.8,21.2,,,,,
30-May,25.6,61.6,37.2,35.3,75,63.1,42,34.2,0,0.5,40,31.6,0.1,33.3,47.9,51.2,19.8,,,,,
31-May,24.1,60,34.9,34.1,74.4,62.8,41.2,32.9,0,0,38.1,31.2,0,32.3,46.2,50.3,19,,,,,
1-Jun,22.1,58.9,32.5,33.4,74.9,62.7,39.9,31.4,0,0,36.7,31.2,0,30.8,44.8,48.7,18.4,,,,,
2-Jun,20.5,57.7,30,32.3,75.1,60.5,39.1,29.8,0,0,34.6,30.6,0,29.7,42.5,47.1,17.2,,,,,
3-Jun,18.5,56.6,27.4,31.7,75.7,59.8,38,28,0,0,33,29.3,0,29.1,40.1,45.4,15.9,,,,,
4-Jun,16.9,56.9,24.7,30.1,74.2,58.9,37,26.3,0,0,32,28.8,0,28.4,38,44.7,14.4,,,,,
5-Jun,14.9,56,22,29.3,73.2,58.7,35.4,24.9,0,0,31.1,27.7,0,27.8,36.1,43.1,12.9,,,,,
6-Jun,14.1,55.7,19.4,27.7,72.2,59.5,33.4,23.4,0,0,30.2,27.1,0,27.2,34.6,41.8,11.5,,,,,
7-Jun,14.4,54.9,17.7,27,70.2,58,31.2,21.9,0,0,28.6,25.6,0,26.9,34,40.5,9.6,,,,,
8-Jun,14,54,16.2,25.8,68.2,58.5,29.9,20.6,0,0,26.4,24,0,26.4,33.3,38.9,7.6,,,,,
9-Jun,12.8,52.5,14.7,24.3,66.2,57.8,29,19.1,0,0,24.7,23.5,0,25.7,32.4,37.3,5.4,,,,,
10-Jun,12.6,52.7,12.7,23.2,64.6,57.5,28.1,17.8,0,0,22.9,22.4,0,25.7,31.5,36.8,4.4,,,,,
11-Jun,12,51.9,10.5,22.2,63.2,57.1,26.6,17.2,0,0,22.1,21.7,0,24.2,30.9,35.3,3.5,,,,,
12-Jun,11.2,51.5,8.6,20.9,62.2,56,26,15.5,0,0,21.3,20.7,0,23,30.3,33.8,1.2,,,,,
13-Jun,10.3,50.8,5.3,19.2,61.2,55.7,24.8,13.8,0,0,20.7,19.9,0,22.2,28.9,32.6,0,,,,,
14-Jun,8.8,49.7,2.3,17.8,61.1,55,24,12.7,0,0,20.1,19.5,0,21.4,28,31.6,0,,,,,
15-Jun,8.6,48.4,0.7,16.8,60,54.2,23.1,11.8,0,0,19.5,18.2,0,20.5,26.3,30.7,0,,,,,
16-Jun,8,47.3,0,16.3,58.7,53,21.3,10.7,0,0,19.3,17.1,0,19.6,24.9,29.9,0,,,,,
17-Jun,7.4,45.9,0,15.7,58,52.7,19.1,9.7,0,0,17.2,14.8,0,18.7,23.2,29.1,0,,,,,
18-Jun,6.7,44.7,0,15.1,57.2,50.3,17.2,8.5,0,0,15.9,11.9,0,17.9,21.4,28.3,0,,,,,
19-Jun,5.9,43.7,0,13.4,56.7,49,15.8,6.9,0,0,14.9,9.1,0,16.4,19.5,28.1,0,,,,,
20-Jun,4.4,42.8,0,12.3,56.6,47.6,15.1,4.7,0,0,13,5.7,0,14.5,18.2,27,0,,,,,
21-Jun,2,41.4,0,11.4,55.6,46.1,14,3.6,0,0,11.5,2.1,0,13.3,16.1,25.8,0,,,,,
22-Jun,1.8,40,0,10.6,54.2,44.6,12.7,1.8,0,0,10.6,0.9,0,11.8,13.6,25,0,,,,,
23-Jun,0.4,37.9,0,9,52.8,43.7,10.7,0.8,0,0,8.8,0.5,0,9.8,11.2,23.2,0,,,,,
24-Jun,0,36.3,0,6,51.6,42,9,0,0,0,5.4,0.3,0,7.5,8.8,21.8,0,,,,,
25-Jun,0,34.7,0,3.7,50.5,40.6,7.4,0,0,0,1.8,0,0,5.5,5.4,20.1,0,,,,,
26-Jun,0,33.2,0,1.9,49,39.8,5.4,0,0,0,0.6,0,0,2.4,1.4,17.9,0,,,,,
27-Jun,0,31.9,0,0.6,47.4,39.3,3.7,0,0,0,0.1,0,0,0.9,0,16,0,,,,,
28-Jun,0,29.8,0,0,46.1,37.8,2.5,0,0,0,0,0,0,0.3,0,12.9,0,,,,,
29-Jun,0,26.5,0,0,44.4,36.5,0.8,0,0,0,0,0,0,0,0,10.9,0,,,,,
30-Jun,0,22.5,0,0,43,34.8,0,0,0,0,0,0,0,0,0,9.7,0,,,,,
1-Jul,0,18.3,0,0,41.7,33.1,0,0,0,0,0,0,0,0,0,7.1,0,,,,,
2-Jul,0,14.6,0,0,39.7,30.8,0,0,0,0,0,0,0,0,0,5.2,0,,,,,
3-Jul,0,10.7,0,0,38,29.9,0,0,0,0,0,0,0,0,0,2.5,0,,,,,
4-Jul,0,7.9,0,0,36.2,28.4,0,0,0,0,0,0,0,0,0,1.4,0,,,,,
5-Jul,0,4.7,0,0,34.1,26.5,0,0,0,0,0,0,0,0,0,0,0,,,,,
6-Jul,0,3.3,0,0,31.9,24.3,0,0,0,0,0,0,0,0,0,0,0,,,,,
7-Jul,0,1.9,0,0,29.2,21.6,0,0,0,0,0,0,0,0,0,0,0,,,,,
8-Jul,0,0.7,0,0,27.4,18.4,0,0,0,0,0,0,0,0,0,0,0,,,,,
9-Jul,0,0,0,0,26.3,14.4,0,0,0,0,0,0,0,0,0,0,0,,,,,
10-Jul,0,0,0,0,25.1,9.6,0,0,0,0,0,0,0,0,0,0,0,,,,,
11-Jul,0,0,0,0,23.6,4.2,0,0,0,0,0,0,0,0,0,0,0,,,,,
12-Jul,0,0,0,0,22.1,1.2,0,0,0,0,0,0,0,0,0,0,0,,,,,
13-Jul,0,0,0,0,20.8,0.1,0,0,0,0,0,0,0,0,0,0,0,,,,,
14-Jul,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
15-Jul,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
16-Jul,0,0,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
17-Jul,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
18-Jul,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
19-Jul,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
20-Jul,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
21-Jul,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
22-Jul,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
23-Jul,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
24-Jul,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
25-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
26-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
27-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
22-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
24-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
25-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
26-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
22-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
24-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
25-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
26-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
